PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 3.7 uM,Standard Deviation,Inhibition at 3.7 uM [1],Inhibition at 3.7 uM [2],Inhibition at 3.7 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 3.7 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 3.7 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 3.7 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 3.7 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,3.7,,3.7,3.7,3.7
1,49674668,171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,Active,100,,,95.9,0.3251,96.3489,95.5971,95.7457
2,26663487,5994065,C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,Active,98,,,94.13,0.199034,93.8752,94.3612,94.1516
3,93577326,274108,C1=CC2=C(C(=C1)C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=CC=C2)C(=O)O,Active,97,,,93.36,0.109707,93.2978,93.5161,93.2713
4,11532916,6047,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,Active,97,,,93.33,0.220645,93.1405,93.2156,93.6416
5,93576907,135403802,C1C2=CC(=C(C=C2C3=C4C=CC(=O)C(=C4OCC31O)O)O)O,Active,97,,,93.16,0.295355,92.7486,93.2827,93.4383
6,89850964,227197,C1CC(=CC2=CC=CO2)C(=O)C1=CC3=CC=CO3,Active,96,,,92.94,0.401713,92.4644,93.4474,92.9176
7,56463598,5281672,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,Active,96,,,92.78,0.473285,92.909,93.2835,92.1461
8,24781613,4916634,CC1C(NC(=O)N1)CCCCCC(=O)NC2=CC=C(C=C2)F,Active,96,,,92.6,0.331121,92.1682,92.6758,92.9699
9,26657917,16681750,C1=CC=C(C=C1)CCC(CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O,Active,96,,,92.4,0.506312,92.5836,91.7101,92.9093
