SMILES,ACTIVITY
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,1
C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C(CC(=O)O)C(=O)O,1
C1=CC2=C(C(=C1)C3=C4C=CC(=O)C(=C4OC5=C3C=CC(=C5O)O)O)C(=CC=C2)C(=O)O,1
C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,1
C1C2=CC(=C(C=C2C3=C4C=CC(=O)C(=C4OCC31O)O)O)O,1
C1CC(=CC2=CC=CO2)C(=O)C1=CC3=CC=CO3,1
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,1
CC1C(NC(=O)N1)CCCCCC(=O)NC2=CC=C(C=C2)F,1
C1=CC=C(C=C1)CCC(CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O,1
C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)O)O)O)O)O,1
C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O.O.O,1
CC1C(NC(=O)N1)CCCCCC(=O)NC2=CC(=C(C=C2)F)Cl,1
CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)OC,1
CCC1=CC(=CC=C1)NC(=O)CCCCCC2C(NC(=O)N2)C,1
C1=C2C(=C3C(=CC(=C(O3)O)O)OC2=O)C(=C(C1=O)O)O,1
C1=CC(=CN=C1)/C=N/NC(=O)C2=C(C3=C(O2)N=C(C=C3C4=CC=CO4)C5=CC=CO5)N,1
C1C(OC2=C(C1=O)C=CC(=C2O)O)C3=CC(=C(C=C3)O)O,1
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,1
C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O.O,1
C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,1
C1=CC(=C(C=C1/C=N/N=C/C2=CC(=C(C=C2)O)O)O)O,1
COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O,1
C1=CC(=C(C=C1/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)O)O,1
CC1C(NC(=O)N1)CCCCCC(=O)NC2=C(C(=CC=C2)F)C,1
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,1
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O,1
CC(C(=O)O)N1C(=O)/C(=C/C=C/C2=CC=CO2)/SC1=S,1
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,1
CC1=C2C=C(C(=O)C=C2OC3=CC(=C(C=C13)O)O)O,1
C1=COC(=C1)/C=C/C(=O)NCCCC(=O)O,1
C1C(=O)NC(=O)N(C1=O)CC2=CC=CO2,1
CC1=C(C(=O)OC2=C1C=CC(=C2O)O)CC(=O)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4,1
COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC(=C(C(=C2)O)O)O)CN3C=C(C=N3)[N+](=O)[O-],1
C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O,1
C1=COC(=C1)C2=NN=C(N=N2)C3=CC=CO3,1
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)[N+](=O)[O-],1
C1=CC(=C(C=C1S(=O)(=O)N)[N+](=O)[O-])N/N=C/C2=C(C(=C(C=C2)O)O)O,1
C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,1
C1=CC2=C(C=CC=N2)C(=C1)NC(=O)/C(=C/C3=CC(=C(C=C3)O)O)/C#N,1
C1CC(OC1)CNC(=O)C2=C(C3=C(S2)N=C4/C(=C/C5=CC=CO5)/CCC4=C3C6=CC=CO6)N,1
C1=CC(=CN=C1)NC(=S)N/N=C/C2=C(C(=C(C=C2)O)O)O,1
C1=CC=C(C=C1)C(=N/N=C/C2=C(C(=C(C=C2)O)O)O)C3=CC=CC=C3,1
C1=C(C2=C(C(=C1O)O)C(=O)C(=O)C=C2O)O,1
C1=CC2=C(C=C1N)N=C3C(=N2)C(=O)NC(=S)N3,1
C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)O,1
C1CN(CCN1CCOCCO)C2=C(C3=C(C(=O)C=CC3=O)C(=C2Br)O)O.Cl,1
C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)NC(=O)C3=CC=NC=C3,1
C1=CC=C(C=C1)CC(C(=O)O)N2C(=O)/C(=C/C=C/C3=CC=CO3)/SC2=S,1
C1=COC(=C1)C2=C(N=C(C(=N2)C3=CC=CO3)C4=CC=CO4)C5=CC=CO5,1
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,1
COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O,1
C1=CC(=CC(=C1)N2C=CC=C2/C=C/3\C(=O)N(C(=O)N3)C4=CC=C(C=C4)Cl)C(=O)O,1
C1=CC=C2C(=C1)/C(=N\N=C\C3=CC(=C(C=C3)O)O)/C(=O)N2,1
CC1=C(NC(=O)N1)C(=O)CCCCC(=O)OCC(=O)NC2=CC=CC=N2,1
CC1=NC2=CC=CC=C2C(=O)N1/N=C/C3=C(C(=C(C=C3)O)O)O,1
CC1=CC(=C(N1CC2=CC=CO2)C)C3=CSC(=N3)N,1
C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C([C@@H]2[C@@H]5C6=C(C(=CC=C6)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,1
C1=CC2=C(C(=CC(=O)C2=O)N)N=C1,1
C1=CC(=O)C2=C(C(=C(C(=C2C1=O)O)CO)CO)O,1
C1=CC=C(C(=C1)C(=O)NN2C(=O)/C(=C/C=C/C3=CC=CO3)/SC2=S)O,1
C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O,1
C1=CC2=C(C=CC=C2[As](=O)(O)O)C(=C1)N,1
CC1=CC2=C(C=CC=C2N=N1)N,1
C1CN(CCN1CCO)C2=C(C3=C(C(=O)C=CC3=O)C(=C2Cl)O)O.Cl,1
CC1=CC(=C2C(=N1)C(=CC(=O)C2=O)N3CCOCC3)C(=O)OC,1
C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,1
C/C=C/C=C/C(=O)[C@@H]1[C@H]([C@H]2/C(=C(/C=C/C=C/C)\O)/C(=O)[C@@]1(C(=O)C2(C)O)C)[C@]3(C(=C(C(=O)O3)C)O)C,1
C1=CC=C(C=C1)NC2=CC3=C(C=CC(=C3C=C2)S(=O)(=O)O)O,1
C1C=CC2C1C(NC3=C2C=CC=C3O)C(=O)O,1
CC(=O)C1=CC2=C(C=C1)NC(C3C2C=CC3)C(=O)O,1
C1=CC=C(C=C1)S(=O)(=O)NN2C(=O)/C(=C/C=C/C3=CC=CO3)/SC2=S,1
C1=CC2=C(C=C1S(=O)(=O)N)C(=O)C(=C(C2=O)Cl)N,1
C=CCN1C(=O)C2=C(NC1=S)SC=C2C3=CC=CO3,1
C1=COC(=C1)C2=NC3=C(C=C(C=C3)C(=O)O)N=C2C4=CC=CO4,1
CCC(CNC1=C2C(=CC(=C1)OC)C=CC=N2)NC3CCCCC3,1
CCOC1=CC=CC(=C1)N2C(=O)/C(=C/C3=CC=CO3)/C(=O)NC2=S,1
C1=CC2=C(C(=O)C(=CC2=O)NCCC3=CC(=C(C(=C3)Br)O)Br)N=C1,1
C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)C(=O)O,1
C1=C(C(=CC(=C1O)O)O)CCN.Br,1
CC(C)N(C(C)C)C(=O)NC1=CC2=NSN=C2C=C1,1
COC1=C(C=C2C(=C1)C=CN=C2C(=O)C3=CC(=C(C=C3Br)OC)OC)OC,1
CC1=CC(=C(C=C1)N=CC2=C(C(=CC=C2)O)O)C,1
C=CCSC1=N/C(=C\C=C\C2=CC=CO2)/C(=O)S1,1
C[C@H]1[C@H](NC(=O)N1)CCCCCC(=O)O,1
CCOC1=CC=C(C=C1)NC(=S)NC2=CC3=NSN=C3C=C2,1
CCC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=CC(=C4)C(=O)O,1
CC1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,1
C1=COC(=C1)/C=C/C=N/N2C(=NNC2=S)C3=CC=CO3,1
COC1=CC=C(C=C1)NC(=S)NC2=CC3=NSN=C3C=C2,1
C1=CC=C2C(=C1)C(OC2=O)NC3=C4C(=CC(=C3)Br)C=CC=N4,1
C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.O.OS(=O)(=O)O,1
CCCCN1C(=O)/C(=C/C=C/C2=CC=CO2)/C(=O)NC1=S,1
C1=CC(=C(C(=C1)O)O)/C=N/N=C/C2=C(C(=CC=C2)O)O,1
COC1=CC=CC=C1NC2=CC3=C(C=CC(=C3)Br)C(=O)N2,1
C1=COC(=C1)/C=C/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)O,1
C1=CC2=C(C(=O)C(=C(C2=O)N)Br)N=C1,1
COC1=CC(=O)C2=C(C1=O)C=CC3=C2C(=NC=N3)N,1
C1=CN(C(=C1)C=C2C(=O)NC(=S)NC2=O)C3=CC=C(C=C3)O,1
C1=CC=C(C=C1)N2C(=O)/C(=C/C3=CC=CO3)/C(=O)NC2=S,1
C1=CC=C2C(=C1)N=C(O2)SCC(=O)N/N=C/C3=CC(=C(C=C3)O)O,1
C1CN(CCN1CCC(=O)N/N=C/C2=C(C(=C(C=C2)O)O)O)C3=CC=CC=C3,1
CN1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl,1
C1=CC=C(C=C1)CN2C(=CC3=NC4=CC=CC=C4N=C32)NS(=O)(=O)C5=CC=C(C=C5)Cl,1
